iso3,iso_year,iso_week,dengue_lag6w,dengue_lag8w,dengue_lag10w,dengue_lag12w,dengue_lag14w,dengue_roll4w,dengue_roll8w,temp_c_dengue_lag0w,humidity_pct_dengue_lag2w,dewpoint_c_dengue_lag0w,precip_mm_dengue_lag0w,sin_week,cos_week,quarter,who_region_enc,dengue_log1p
ABW,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.27880859375,82.89057922363281,23.138458251953125,1.86920166015625,0.4647231720437685,0.8854560256532099,1,1,0.6931471805599453
ABW,2018,12,0.0,0.0,0.0,0.0,0.0,0.0,0.08664339756999316,25.555877685546875,83.21934509277344,22.49740600585937,0.331878662109375,0.992708874098054,0.120536680255323,1,1,0.6931471805599453
ABW,2018,36,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.08664339756999316,27.731170654296875,87.45946502685547,24.698883056640625,1.3790130615234375,-0.9350162426854147,-0.3546048870425359,3,1,0.6931471805599453
ABW,2018,40,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.08664339756999316,27.384002685546875,83.59644317626953,24.420867919921875,5.841255187988281,-0.992708874098054,0.1205366802553232,4,1,0.6931471805599453
ABW,2018,44,0.6931471805599453,0.0,0.0,0.0,0.0,0.17328679513998632,0.17328679513998632,27.13909912109375,83.90457153320312,23.975372314453125,3.589630126953125,-0.822983865893657,0.5680647467311548,4,1,1.0986122886681096
ABW,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.615142822265625,81.6278076171875,22.022247314453125,0.4472732543945312,0.12053668025532305,0.992708874098054,1,1,0.6931471805599453
ABW,2019,2,0.0,0.0,1.0986122886681096,0.6931471805599453,0.0,0.17328679513998632,0.08664339756999316,25.615142822265625,81.6278076171875,22.022247314453125,0.4472732543945312,0.23931566428755774,0.970941817426052,1,1,1.0986122886681096
ABW,2019,3,0.0,0.0,0.0,0.0,0.0,0.44793986730701374,0.22396993365350687,25.615142822265625,80.56331634521484,22.022247314453125,0.4472732543945312,0.3546048870425356,0.9350162426854148,1,1,1.6094379124341005
ABW,2019,4,0.0,0.0,0.0,1.0986122886681096,0.6931471805599453,0.8502993454155389,0.42514967270776943,25.615142822265625,80.56331634521484,22.022247314453125,0.4472732543945312,0.4647231720437685,0.8854560256532099,1,1,1.6094379124341005
ABW,2019,5,0.0,0.0,0.0,0.0,0.0,1.2526588235240639,0.6263294117620319,25.408935546875,80.56331634521484,22.152130126953125,0.3814697265625,0.5680647467311558,0.8229838658936564,1,1,1.791759469228055
ABW,2019,6,0.0,0.0,0.0,0.0,1.0986122886681096,1.5273118956910914,0.8502993454155389,25.408935546875,80.56331634521484,22.152130126953125,0.3814697265625,0.6631226582407952,0.7485107481711011,1,1,1.9459101490553128
ABW,2019,7,0.6931471805599453,0.0,0.0,0.0,0.0,1.739136360787892,1.093538114047453,25.408935546875,82.20416259765625,22.152130126953125,0.3814697265625,0.7485107481711011,0.6631226582407953,1,1,1.9459101490553128
ABW,2019,8,1.0986122886681096,0.0,0.0,0.0,0.0,1.8232544199431953,1.3367768826793671,25.408935546875,82.20416259765625,22.152130126953125,0.3814697265625,0.8229838658936564,0.5680647467311559,1,1,2.079441541679836
ABW,2019,9,1.6094379124341005,0.6931471805599453,0.0,0.0,0.0,1.9407553272546294,1.5967070753893466,25.4439697265625,82.20416259765625,22.842742919921875,0.29754638671875,0.8854560256532099,0.4647231720437686,1,1,2.19722457733622
ABW,2019,10,1.6094379124341005,1.0986122886681096,0.0,0.0,0.0,2.0421216042816703,1.784716749986381,25.4439697265625,82.20416259765625,22.842742919921875,0.29754638671875,0.9350162426854148,0.35460488704253557,1,1,2.079441541679836
ABW,2019,11,1.791759469228055,1.6094379124341005,0.6931471805599453,0.0,0.0,2.0755044524378015,1.9073204066128469,25.4439697265625,85.54814910888672,22.842742919921875,0.29754638671875,0.970941817426052,0.23931566428755804,1,1,2.302585092994046
ABW,2019,12,1.9459101490553128,1.6094379124341005,1.0986122886681096,0.0,0.0,2.1646731884224844,1.9939638041828398,25.4439697265625,85.54814910888672,22.842742919921875,0.29754638671875,0.992708874098054,0.120536680255323,1,1,2.19722457733622
ABW,2019,13,1.9459101490553128,1.791759469228055,1.6094379124341005,0.6931471805599453,0.0,2.1941189473365803,2.067437137295605,25.4439697265625,85.54814910888672,22.842742919921875,0.29754638671875,1.0,-1.6081226496766364e-16,1,1,2.19722457733622
ABW,2019,14,2.079441541679836,1.9459101490553128,1.6094379124341005,1.0986122886681096,0.0,2.1941189473365803,2.1181202758091255,25.88671875,85.54814910888672,23.26898193359375,0.2307891845703125,0.992708874098054,-0.12053668025532288,2,1,2.19722457733622
ABW,2019,15,2.19722457733622,1.9459101490553128,1.791759469228055,1.6094379124341005,0.6931471805599453,2.2235647062506763,2.149534579344239,25.88671875,85.54814910888672,23.26898193359375,0.2307891845703125,0.9709418174260521,-0.2393156642875575,2,1,2.079441541679836
ABW,2019,16,2.079441541679836,2.079441541679836,1.9459101490553128,1.6094379124341005,1.0986122886681096,2.167778818422124,2.166226003422304,25.88671875,85.50702667236328,23.26898193359375,0.2307891845703125,0.9350162426854148,-0.35460488704253545,2,1,1.9459101490553128
ABW,2019,17,2.302585092994046,2.19722457733622,1.9459101490553128,1.791759469228055,1.6094379124341005,2.1049502113518974,2.149534579344239,25.88671875,85.50702667236328,23.26898193359375,0.2307891845703125,0.8854560256532099,-0.4647231720437685,2,1,1.791759469228055
ABW,2019,18,2.19722457733622,2.079441541679836,2.079441541679836,1.9459101490553128,1.6094379124341005,2.003583934324856,2.0988514408307184,26.64535522460937,85.50702667236328,24.258758544921875,0.5359649658203125,0.8229838658936565,-0.5680647467311557,2,1,1.3862943611198906
ABW,2019,19,2.19722457733622,2.302585092994046,2.19722457733622,1.9459101490553128,1.791759469228055,1.8008513802707737,2.012208043260725,26.64535522460937,85.50702667236328,24.258758544921875,0.5359649658203125,0.7485107481711013,-0.663122658240795,2,1,1.0986122886681096
ARG,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.235803604125977,48.70710754394531,10.885852813720703,2.839007377624512,0.12053668025532305,0.992708874098054,1,1,4.02535169073515
