iso3,iso_year,iso_week,temp_c,dewpoint_c,temp_min_c,temp_max_c,temp_range_c,humidity_pct,wind_ms,precip_mm,conv_precip_mm,ls_precip_mm,evap_mm,water_vapour,solar_wm2,uv_wm2,thermal_wm2,cloud_cover,msl_pa,blh_m
AFG,2015,53,12.197555859883627,2.5403183698654175,9.042387962341309,14.3482666015625,0.7755730748176575,58.18150075276693,3.2058682441711426,0.5895706739684101,0.38520750968200446,0.20428626405191608,0.07227994874119759,14.093327522277832,134.76072947184244,14.75725237528483,301.32692464192706,0.5962252020835876,101744.95572916667,531.1997884114584
AFG,2016,1,10.575300352913994,-0.32702953049114775,7.337460517883301,12.988344192504883,0.7172675728797913,51.36082404000418,2.478559970855713,0.19893338570182095,0.1084535372137907,0.09047600221310859,0.250908762216568,8.006511688232422,192.4224112374442,19.529314041137695,262.13277762276783,0.3364721270544188,101728.95089285714,499.5279541015625
AFG,2016,2,8.459858213152204,-5.265758003507342,5.4050679206848145,10.014226913452148,0.5877314295087542,43.88670022147043,2.581897939954485,0.19739519787981408,0.07519414275884628,0.1221933694814652,0.16046707890927792,5.581223487854004,214.40348379952567,21.539098467145646,248.7566201346261,0.26817335544702864,101878.74665178571,507.1205531529018
AFG,2016,3,11.087709018162318,-7.1460356031145364,5.965590476989746,12.946292877197266,0.666728138923645,31.709516797746932,2.243625657899039,0.0,0.0,0.0,0.17032752372324467,4.074823413576398,262.0403573172433,25.342878886631556,236.1811261858259,0.0892407807321953,101934.43303571429,423.1066458565848
AFG,2016,4,8.312874521527972,-4.042517559868949,4.416055202484131,13.03569221496582,0.5357578865119389,49.41815621512277,3.0063210214887346,0.7360596777871251,0.4803365326952189,0.25576929841190577,0.19710266590118408,8.256185633795601,238.57334681919642,25.182093484061106,266.3852277483259,0.3912846419428076,101702.36830357143,780.920161655971
AFG,2016,5,9.50115088054112,-8.395622049059186,5.406180381774902,13.28794002532959,0.48849540097372873,32.143554415021626,2.626106892313276,0.002676440781215206,0.0016266299353446811,0.0010459653567522764,0.22240281105041504,4.399673121316092,314.36863490513394,31.55217715672084,237.3905748639788,0.16727008131731833,101978.3359375,663.6757114955357
AFG,2016,6,6.223717110497611,-7.999723093850272,1.669664978981018,13.551974296569824,0.4433458745479584,42.86489132472447,3.247103112084525,0.10918032603149186,0.03668185230344534,0.07250231912985328,0.19080098159611225,4.950808933803013,328.5795157296317,33.654425212315154,237.2522452218192,0.2767466242824282,101982.02901785714,841.5758056640625
AFG,2016,7,12.663809640066964,-7.0882095609392435,8.24307918548584,15.825916290283203,0.4020066559314728,29.334626061575754,2.2580961670194353,0.009890525841910858,0.007740912842564285,0.0021611490010400303,0.2564635891467333,5.587569338934762,357.243416922433,36.86631393432617,252.6181858607701,0.29089925225291935,102033.76339285714,987.5608607700893
AFG,2016,8,19.776009695870535,-2.7386062485831126,16.2347354888916,20.265605926513672,0.3777091716017042,26.699369975498744,2.2184370245252336,0.010736526804976165,0.010721144964918494,7.690921847824939e-06,0.28881533071398735,7.235369784491403,389.4253888811384,40.15913772583008,279.3554905482701,0.16542299570781843,101771.0625,960.8911045619419
AFG,2016,9,15.612605367388044,4.466879708426339,12.042826652526855,20.061677932739258,0.3962371477058956,53.758914947509766,2.636265073503767,1.091280261054635,0.839367987588048,0.2519699807744473,0.4637930728495121,14.368508066449847,307.77532958984375,34.672822679792134,314.56956263950894,0.637670989547457,101597.38727678571,1050.5771309988838
AFG,2016,10,14.79039818899972,4.977370125906808,12.259974479675293,17.786399841308594,0.4082270307200296,57.45282636369978,2.551239882196699,1.485363133251667,0.935789086855948,0.5495240520685911,0.668102003633976,13.74719728742327,312.802256992885,35.23947879246303,311.9929635184152,0.6878964347498757,101302.8046875,1009.3925170898438
AFG,2016,11,15.156394686017718,0.5173539859907967,12.933839797973633,18.35478401184082,0.3900814524718693,47.51272228785923,3.4265647615705217,0.898245845688507,0.6776009856257588,0.22075253325601807,0.6142503693699837,10.032286371503558,381.0051487513951,42.1340822492327,296.69205147879467,0.4481038014803614,101136.45424107143,1437.2467564174108
AFG,2016,12,17.23096261705671,-0.6813687767301287,12.46267032623291,20.91279411315918,0.44823782784598215,38.370191301618306,3.374716486249651,0.6340165444999002,0.3991088545881212,0.23495765824918635,0.6341976970434189,9.744983128138951,404.5238298688616,44.38178307669504,297.9223850795201,0.5423868106944221,101519.1796875,1272.994384765625
AFG,2016,13,17.721702439444407,4.751185647078922,12.568107604980469,23.21685218811035,0.4609235738004957,51.77807835170201,3.741356611251831,1.2635954286670312,0.9152735498500988,0.3483295500118402,0.5791482366621494,15.32756246839251,327.29722377232144,37.54045895167759,334.6237313406808,0.7317571661302021,101195.96875,1235.8399919782366
AFG,2016,14,18.343233380998885,2.147903189063072,16.44521713256836,20.464906692504883,0.3899308272770473,41.697848728724885,2.688219887869699,0.7865813383832574,0.6237683828221634,0.16280142887262627,0.6846235245466232,11.557405267442975,420.6705889020647,46.39668709891183,308.70641653878346,0.5489626399108342,101274.10602678571,1616.8581368582588
AFG,2016,15,23.161979947771346,5.1642548356737406,18.48650550842285,26.049671173095703,0.4306125853742872,39.95895903451102,3.2824808870043074,1.1555379554629326,1.000254375860095,0.15523356769699603,0.6827434003353119,16.565379687717982,424.07861328125,47.452369689941406,338.91815185546875,0.5633597671985626,100941.35044642857,1887.57275390625
AFG,2016,16,21.140950884137833,0.35807710886001587,18.984567642211914,21.71343421936035,0.33448573521205355,32.40039253234863,3.9391166142054965,0.4318760286550969,0.38155048759654164,0.05022941227798583,0.668222539126873,9.658605234963554,482.28161185128346,52.76754379272461,306.0626961844308,0.3718796063746725,101206.5390625,1951.5230015345983
AFG,2016,17,27.525623866489955,1.1232344848769051,22.261463165283203,30.023300170898438,0.34399203743253437,22.99189077104841,3.0966731139591763,0.19385737934499048,0.19185004939208739,0.0019611850766523276,0.7215752527117729,11.760975428989955,495.64998953683033,54.0149895804269,331.4274161202567,0.4199464129550116,100951.83816964286,2637.0462820870534
AFG,2016,18,27.8966247013637,5.752724238804409,22.509281158447266,32.09758377075195,0.5047222056559154,31.448161261422293,3.104188544409616,1.2426914930692874,1.0748101793578826,0.1678697551269579,0.6740337163209915,16.71147905077253,452.481436593192,50.50935854230608,355.5575169154576,0.554365873336792,100844.48549107143,2284.4959891183034
AFG,2016,19,28.740518842424667,5.841449975967407,25.406246185302734,30.476051330566406,0.5176203080586025,29.539976392473495,3.6691679613930837,0.954881776124239,0.8727658092975616,0.08215442865184741,0.6569975689053535,17.58954851967948,451.34657505580356,50.34275872366769,360.3785138811384,0.5132825970649719,100831.17075892857,2392.5395159040177
AFG,2016,20,31.85835702078683,4.12880938393729,28.54431915283203,32.759178161621094,0.3931884744337627,21.290459769112722,4.113713162285941,0.20793945307377726,0.20346717804204673,0.004422280009748647,0.6937570422887802,14.534764562334333,517.0992300851004,56.601937430245535,357.0780944824219,0.33597385723676,100530.09263392857,2578.9348493303573
AFG,2016,21,30.947666713169642,1.8981190025806427,26.912431716918945,31.892108917236328,0.2919215900557382,19.207629340035574,4.4630022048950195,0.1357293914188631,0.1340989156451542,0.001707384715700755,0.6453350409865379,11.2802825655256,554.9591500418527,59.46684646606445,341.5631888253348,0.11514760580446039,100415.85491071429,2555.0001918247767
AFG,2016,22,32.709280014038086,2.9822089842387607,30.02875328063965,34.35236358642578,0.35261993535927366,19.708911895751953,3.6847857407161166,0.5194525645983958,0.5003098586512351,0.019219613634049892,0.6153023391962051,13.557825020381383,527.977543422154,57.1576772417341,358.15780203683033,0.2958734719348805,100367.69754464286,2797.0821358816966
